,age,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,on_ice_shot_pct,on_ice_sv_pct,pdo,player,pos,shot_thru_percentage,takeaways,toi_pbp_per_60_all,toi_pbp_per_60_ev,total_shots_attempted_all,zs_defense_pct,zs_offense_pct,team
113,30,269,281,51.1,1.2,198,193,49.4,0.5,24,4,6.5,91.7,98.1,Chris Kelly,C,54.5,13,14:52,12:42,44,60.4,39.6,Boston Bruins
114,24,1056,1157,52.3,-0.9,789,846,51.7,-1.2,75,28,9.7,94.1,103.8,David Krejci,C,59.0,33,18:51,14:56,266,48.3,51.7,Boston Bruins
115,22,1005,1197,54.4,3.0,767,867,53.1,1.9,79,43,10.4,93.8,104.2,Milan Lucic,LW,50.9,27,16:35,14:02,340,47.5,52.5,Boston Bruins
116,22,902,940,51.0,-0.3,684,713,51.0,0.6,77,39,8.9,94.2,103.0,Brad Marchand,C,65.5,36,13:59,11:52,226,50.0,50.0,Boston Bruins
117,24,880,828,48.5,-4.0,642,576,47.3,-4.7,67,15,11.9,94.5,106.4,Adam McQuaid,D,37.4,5,14:52,13:21,123,53.3,46.7,Boston Bruins
118,26,415,378,47.7,-5.9,303,288,48.7,-4.2,43,4,7.8,93.6,101.4,Daniel Paille,LW,65.8,10,11:18,10:01,73,56.9,43.1,Boston Bruins
119,28,247,304,55.2,6.0,181,206,53.2,4.9,23,3,5.4,92.5,97.9,Rich Peverley,C,55.6,13,15:47,12:48,72,54.9,45.1,Boston Bruins
120,42,1002,1021,50.5,-1.2,751,746,49.8,-1.4,81,32,9.8,92.7,102.5,Mark Recchi*,RW,62.6,16,16:06,12:42,211,52.6,47.4,Boston Bruins
121,30,981,918,48.3,-4.2,732,668,47.7,-4.4,79,28,8.0,92.8,100.8,Michael Ryder,RW,55.8,35,14:29,12:21,294,49.0,51.0,Boston Bruins
122,33,342,346,50.3,-2.7,274,257,48.4,-4.9,25,18,5.8,91.5,97.3,Marc Savard,C,60.2,3,15:48,12:44,83,55.4,44.6,Boston Bruins
123,19,802,761,48.7,-4.5,614,560,47.7,-5.1,74,24,6.1,93.9,100.0,Tyler Seguin,C,63.3,22,12:13,10:49,207,48.8,51.2,Boston Bruins
124,29,1589,1499,48.5,-5.3,1164,1117,49.0,-4.3,81,27,7.8,92.6,100.4,Dennis Seidenberg,D,51.7,12,23:33,19:07,321,53.5,46.5,Boston Bruins
125,26,435,394,47.5,-4.5,315,291,48.0,-5.1,31,14,10.8,93.9,104.7,Mark Stuart,D,34.5,4,16:15,14:03,58,57.0,43.0,Boston Bruins
126,33,771,717,48.2,-4.4,584,551,48.5,-3.4,79,6,6.4,95.6,102.0,Shawn Thornton,RW,63.4,23,10:05,9:55,238,52.1,47.9,Boston Bruins
127,24,749,704,48.5,-4.8,539,523,49.2,-3.5,58,21,8.1,93.9,102.0,Blake Wheeler,RW,59.4,21,15:12,12:49,170,47.6,52.4,Boston Bruins
128,20,201,153,43.2,-6.0,156,118,43.1,-8.0,19,7,4.5,92.6,97.1,Luke Adam,LW,62.0,2,11:13,9:37,50,46.4,53.6,Buffalo Sabres
129,28,323,284,46.8,-3.0,255,223,46.7,-6.6,21,11,10.5,91.5,102.0,Brad Boyes,C,71.9,9,16:28,14:25,64,45.4,54.6,Buffalo Sabres
130,24,695,739,51.5,4.1,529,559,51.4,3.6,49,21,8.6,92.3,100.9,Chris Butler,D,43.7,18,18:10,15:55,119,49.2,50.8,Buffalo Sabres
131,21,79,83,51.2,-5.6,63,60,48.8,-9.1,8,2,8.7,91.1,99.8,Paul Byron,C,71.4,8,10:57,10:40,7,35.4,64.6,Buffalo Sabres
132,29,738,864,53.9,4.9,561,630,52.9,3.1,68,34,7.9,90.3,98.2,Tim Connolly,C,55.3,22,16:54,12:20,273,44.5,55.5,Buffalo Sabres
133,29,115,109,48.7,5.2,78,78,50.0,5.9,14,1,0.0,92.3,92.3,Matt Ellis,LW,51.3,4,10:03,9:44,39,43.4,56.6,Buffalo Sabres
134,21,1024,1010,49.7,-1.7,797,764,48.9,-3.3,82,25,9.2,91.8,101.0,Tyler Ennis,C,61.8,45,15:40,13:23,340,45.2,54.8,Buffalo Sabres
135,28,869,892,50.7,-0.5,611,678,52.6,1.4,81,24,7.5,93.5,101.1,Paul Gaustad,C,61.3,22,15:08,12:18,191,55.8,44.2,Buffalo Sabres
136,23,663,772,53.8,2.5,476,586,55.2,3.5,64,19,8.1,92.5,100.6,Nathan Gerbe,C,65.0,24,13:20,12:01,263,49.4,50.6,Buffalo Sabres
137,23,89,111,55.5,6.4,69,82,54.3,3.4,9,3,7.3,92.7,100.0,Marc-Andre Gragnani,LW,52.4,6,15:17,13:07,21,31.3,68.8,Buffalo Sabres
138,36,784,684,46.6,-6.0,581,520,47.2,-5.4,73,22,7.3,92.9,100.2,Mike Grier,RW,64.8,26,14:24,11:30,165,55.3,44.7,Buffalo Sabres
139,33,798,984,55.2,5.7,592,750,55.9,6.4,67,26,8.4,90.5,98.9,Jochen Hecht,C,62.1,33,17:05,13:39,277,41.6,58.4,Buffalo Sabres
140,24,430,414,49.1,-3.8,299,309,50.8,-1.4,51,9,6.3,90.9,97.2,Patrick Kaleta,RW,69.9,11,10:11,9:26,93,49.6,50.4,Buffalo Sabres
141,30,1251,1215,49.3,-4.3,911,940,50.8,-2.5,71,50,6.9,91.6,98.6,Jordan Leopold,D,49.1,15,23:20,17:59,273,45.6,54.4,Buffalo Sabres
142,25,198,203,50.6,4.0,151,177,54.0,4.3,20,5,6.4,90.3,96.7,Mark Mancari,RW,67.2,9,12:19,10:59,64,48.4,51.6,Buffalo Sabres
143,27,781,729,48.3,-3.7,570,554,49.3,-2.6,81,19,6.9,92.9,99.8,Cody McCormick,C,56.2,20,10:57,10:40,185,47.9,52.1,Buffalo Sabres
